,score
PXMLR,2.6548712253570557
HENOHM10,1.6401212215423584
HXPRINOH,1.2095739841461182
HXNOHM1,1.140712022781372
HEPSCYBA,1.087074637413025
PRSJMJ,0.9857370257377625
PTNMEMP2,0.8738697171211243
HEMEDINF,0.8317956924438477
PEDWLKWK,0.8136645555496216
HENOTV10,0.695901095867157
PXLKLL2O,0.6804123520851135
PXEGOVTS,0.6769242286682129
HENOTV7,0.6481680870056152
HENOTV5,0.6404194831848145
HXINOTHR,0.6274226903915405
PXIO2ICD,0.6249552369117737
HENOHM7,0.6100084185600281
HEMEDREC,0.5922266244888306
PXERNHRY,0.578142523765564
PXDISREM,0.5765944719314575
HEDEVSTA,0.5694647431373596
PRDTOCC2,0.5624288320541382
HUBUSL2,0.5569191575050354
PXHSPNON,0.5556458830833435
HXPREVTV,0.5530587434768677
HEINOTHR,0.5418122410774231
PXNETCK2,0.5364977121353149
HETRADTV,0.533545970916748
PRUNTYPE,0.530631422996521
HEMEDMON,0.5247430801391602
PXWEARAB,0.5246184468269348
HEHNETST,0.5234861373901367
HENOTV12,0.5234546661376953
PXINCAFE,0.5171908140182495
HXINELHO,0.5136855840682983
GTMETSTA,0.5110259056091309
HXTENURE,0.5004283785820007
HEINSCHL,0.49822258949279785
PXINOTHR,0.49137425422668457
PRIMIND1,0.49083593487739563
HEINLICO,0.48980382084846497
PEPDEMP2,0.4877178370952606
HENOTV4,0.487281858921051
HXMEDINF,0.4710105359554291
PXMPHONE,0.47072356939315796
PRDASIAN,0.4679245352745056
STATE,0.4599247872829437
HEINELHO,0.45901718735694885
PXHRUSL2,0.45817887783050537
HEHNETQL,0.4501051902770996
PXTABLET,0.4479210674762726
HEHOMTE3,0.4476945102214813
PEINELHO,0.43687090277671814
HUBUSL1,0.4313153922557831
HEINTRAV,0.42832469940185547
HXINWORK,0.4248110055923462
HEMEDDOC,0.42377716302871704
PXINELHO,0.4187893569469452
PXEDUCA,0.417601615190506
HENOTV3,0.40819185972213745
HXLOPRCE,0.40807846188545227
PXHRACT2,0.40534260869026184
PXERNUOT,0.4040726125240326
PELKLWO,0.4033680558204651
PXSCHFT,0.4032493829727173
PXINHOME,0.40046319365501404
HETVBOX,0.3993624150753021
HEINCAFE,0.39816388487815857
PXAGE,0.39800551533699036
PXINLICO,0.39789655804634094
HXINLICO,0.3951682150363922
HETELAVL,0.39508411288261414
PULKM5,0.39157772064208984
HELAPTOP,0.38772347569465637
HENOTV6,0.38390809297561646
HRNUMHOU,0.3836272954940796
HXDEVQUA,0.3832622468471527
PXINSCHL,0.38081613183021545
HXDEVSTA,0.38057225942611694
PRDTHSP,0.3797451853752136
GTCBSASZ,0.37510138750076294
GEDIV,0.3700766861438751
GTCO,0.3681182563304901
PELKM1,0.3678475320339203
QSTNUM,0.3676922917366028
PXLAPTOP,0.3587944805622101
PUIOCK2,0.3586854934692383
PEDIPGED,0.3581996262073517
HEDEVQUA,0.357456237077713
PXDISPHY,0.35740357637405396
HEEVRHOM,0.3563641607761383
PXFNTVTY,0.35628464818000793
PRWKSCH,0.3560362756252289
HEPREVTV,0.35594868659973145
HXHNETQL,0.34866881370544434
HXPSCYBA,0.3472824990749359
HXTELHHD,0.3457929491996765
HELOPRCE,0.3418053090572357
HXINTRAV,0.3404482901096344
HUINTTYP,0.3396410644054413
PTDTRACE,0.33867552876472473
HEDESKTP,0.33677002787590027
PXRACE1,0.33603915572166443
HENOTV1,0.3347858786582947
HENETCHK,0.33439940214157104
HEMOBDAT,0.33433520793914795
HXMOBDAT,0.33232688903808594
PXDISDRS,0.3294539451599121
PXPDEMP1,0.32805559039115906
GTCBSA,0.3263739049434662
HENOTV8,0.3262661397457123
PXMJOT,0.32221129536628723
HXINCAFE,0.3214447796344757
HWHHWTLN,0.3207852244377136
HEWEARAB,0.32041415572166443
HXHOMTE1,0.3201552629470825
PEINOTHR,0.31962257623672485
PEINTRAV,0.3193691074848175
PXNATVTY,0.31914252042770386
GTINDVPC,0.31807324290275574
HUPRSCNT,0.31790992617607117
HEPRINOH,0.3173263967037201
PXMARITL,0.31654131412506104
HURESPLI,0.3161504566669464
GTCSA,0.31407755613327026
PUBUS2OT,0.31336772441864014
PEABSRSN,0.3130051791667938
HRHHID2,0.3110703229904175
HXFAMINC,0.30998045206069946
PRJOBSEA,0.3068675100803375
PXAFEVER,0.3066833019256592
HXPSCON1,0.30485591292381287
PEFNTVTY,0.30375954508781433
UNEMPTYPE,0.30097469687461853
PEMJNUM,0.29993632435798645
HWHHWGT,0.2977585792541504
PXDESKTP,0.29398560523986816
HETELHHD,0.29317259788513184
PXDWWK,0.29256388545036316
PXPAR1,0.29219645261764526
HXDESKTP,0.2909283936023712
HEHOMTE1,0.2900286018848419
PEDWWK,0.289410799741745
HXTRADTV,0.2891770303249359
HRHTYPE,0.28854280710220337
PULKM2,0.28703728318214417
HENOHM1,0.28689703345298767
HENOTV2,0.286186158657074
HEINWORK,0.2850863039493561
PEHRUSLT,0.2831384539604187
HEMPHONE,0.28274354338645935
HETABLET,0.28172460198402405
PUDIS2,0.2793523967266083
PTNMEMP1,0.27898019552230835
PXIO1ICD,0.2783304750919342
HRLONGLK,0.2780553102493286
HENOHM4,0.2780313789844513
PXINUSYR,0.2766595780849457
PXCYC,0.2751612067222595
GTCBSAST,0.2751574218273163
PENETCK2,0.27490776777267456
HXLAPTOP,0.27424106001853943
PRDTIND2,0.2733199894428253
HRMIS,0.2730777859687805
HEHMINT2,0.27255144715309143
HEHMINT1,0.27096521854400635
PUJHCK3,0.2702595293521881
HEHOMTE4,0.2697835862636566
PUHROT1,0.26960498094558716
PRHERNAL,0.2692086696624756
HUBUS,0.26911962032318115
PELKLL2O,0.26689428091049194
PEMNTVTY,0.2621789872646332
HEFAMINC,0.2605989873409271
PEDW4WK,0.26017794013023376
HXTELAVL,0.25764036178588867
PXECOMME,0.2576275169849396
PEPAR1TYP,0.25509214401245117
HEHOMTE2,0.2531331479549408
PEEDTRAI,0.2526435852050781
PXHRUSL1,0.2521090805530548
PXTVBOX,0.25173836946487427
PXERNRT,0.25104469060897827
PUNLFCK2,0.24857330322265625
PXTEXTIM,0.24780011177062988
PXERNH2,0.2473834902048111
PXDWAVL,0.24496300518512726
PEDWAVR,0.2446945607662201
PUHRCK5,0.24461716413497925
PEINLICO,0.243061363697052
HXINSCHL,0.24285972118377686
PXERNH1O,0.24249009788036346
GESTFIPS,0.24134068191051483
HXMEDREC,0.24128687381744385
PELKDUR,0.24053442478179932
PEDISOUT,0.23633983731269836
PRDTCOW2,0.2363138496875763
PEHRAVL,0.23528477549552917
PEIO2COW,0.23453651368618011
HETENURE,0.23429399728775024
PRNMCHLD,0.23342998325824738
PUDWCK4,0.23335185647010803
HEINHOME,0.23330283164978027
PWORWGT,0.23237282037734985
PENLFJH,0.2305820882320404
HXMEDMON,0.22930850088596344
PRMARSTA,0.22756342589855194
HXNOTV1,0.22692564129829407
SCHOOL,0.22636666893959045
HXTABLET,0.22594529390335083
PXERN,0.2251773476600647
PRINUYER,0.22505919635295868
PXINTRAV,0.2237163633108139
PTWK,0.2235417664051056
PRCITFLG,0.22315913438796997
PULKAVR,0.22310619056224823
PUHROFF2,0.22206883132457733
PTERNH2,0.21993131935596466
HXTVBOX,0.21803447604179382
PUHRCK7,0.21765871345996857
HENOTV11,0.2152605801820755
PELAPTOP,0.21324339509010315
PEERNRT,0.21196110546588898
PXERNLAB,0.21170353889465332
PELKLL1O,0.2114918828010559
PEHRUSL2,0.21134620904922485
PUHROFF1,0.21078543365001678
PEAFWHN3,0.21064652502536774
PECYC,0.21060055494308472
PUHRCK3,0.21015200018882751
EDUCDT,0.20970451831817627
PUBUSCK4,0.20887432992458344
PRABSREA,0.20816950500011444
PEAFWHN2,0.20570769906044006
PULAYCK3,0.20566220581531525
PXCOHAB,0.20446112751960754
PEHRACT1,0.20440565049648285
HENOHM6,0.20189251005649567
PEERNWKP,0.20171473920345306
HUFINAL,0.20169734954833984
PEHRACTT,0.20081506669521332
PXHRWANT,0.20022836327552795
PRTAGE,0.19989867508411407
PRHRUSL,0.19916988909244537
HXWEARAB,0.1987912356853485
PWFMWGT,0.19673354923725128
HEHOUSUT,0.19582456350326538
PTERN,0.19575990736484528
HRHHID,0.19523605704307556
PEAUDIO,0.1950264424085617
PEINCAFE,0.19485034048557281
PEAFEVER,0.19413438439369202
PXEMAIL,0.19334109127521515
PUIOCK1,0.19255362451076508
PUDIS1,0.19252093136310577
PETVBOX,0.19101621210575104
PEHRRSN3,0.19040687382221222
PECONFER,0.18967734277248383
PUDWCK3,0.18825650215148926
HEPHONEO,0.18753060698509216
PXABSRSN,0.1873977780342102
PEHGCOMP,0.18706466257572174
PRFAMTYP,0.18669065833091736
PRWKSTAT,0.18643495440483093
PWLGWGT,0.18624286353588104
PUCHINHH,0.1856597363948822
PEHRACT2,0.1854596883058548
PEDESKTP,0.18367899954319
PXHGCOMP,0.18352437019348145
PRWERNAL,0.18285971879959106
PURETOT,0.1825438141822815
PXDISOUT,0.18220022320747375
PRPTHRS,0.18074141442775726
PTIO2OCD,0.18065811693668365
PRCHLD,0.18021996319293976
PRNLFSCH,0.17930282652378082
PUBUS1,0.17776474356651306
HXPSPRE1,0.1776856780052185
PUIODP2,0.1772826910018921
PXMJNUM,0.17723298072814941
PERET1,0.1770123839378357
PUWK,0.1769644170999527
PXPAR1TYP,0.17686128616333008
GEREG,0.17545396089553833
PEDISEAR,0.17515519261360168
PXPAR2TYP,0.17446614801883698
PECOHAB,0.1743648648262024
PEWEARAB,0.17408522963523865
PXMNTVTY,0.17391468584537506
PXHRRSN2,0.17388448119163513
PULKM3,0.17337660491466522
PULK,0.17306645214557648
PEHRWANT,0.17293612658977509
PENATVTY,0.17279678583145142
PUHRCK4,0.17265506088733673
PXINWORK,0.17190246284008026
PTIO1OCD,0.17175140976905823
PEERNHRY,0.17175067961215973
PEDISREM,0.16994673013687134
PULAYDT,0.16844841837882996
PEIO1ICD,0.1683366596698761
PEHRRSN2,0.16832880675792694
PESCHFT,0.16641488671302795
PXIO1OCD,0.1657695323228836
PXNLFJH,0.16531628370285034
PRERELG,0.16528180241584778
PXDWWNTO,0.1643334925174713
PETABLET,0.1640360951423645
PXCERT2,0.16348622739315033
HXINHOME,0.16292515397071838
PEEGOODS,0.16202794015407562
PXRRP,0.1614379733800888
PEAFWHN1,0.15939326584339142
PEHOMIOT,0.15929733216762543
PUHROT2,0.15925514698028564
PEINSCHL,0.15922419726848602
PEERNPER,0.1586993932723999
PXLKLWO,0.15771090984344482
PULAYAVR,0.15743866562843323
PXNLFRET,0.15664678812026978
PEVOICEA,0.15585820376873016
PRDISFLG,0.15568163990974426
PESCHLVL,0.15462802350521088
PUIO1MFG,0.15433944761753082
PXHRRSN3,0.15375904738903046
PXNMEMP1,0.15268753468990326
PXHRUSLT,0.15217812359333038
PXDISEYE,0.1507897973060608
PXDIPGED,0.14972978830337524
PRDTOCC1,0.14939309656620026
PECERT2,0.14920029044151306
PXPAR2,0.14854684472084045
PEGAMING,0.1479138433933258
PEHRUSL1,0.1470942199230194
PEDISDRS,0.14683783054351807
PEPUBLISH,0.14663399755954742
PWVETWGT,0.1464659720659256
PEFINANC,0.1461702585220337
PUIODP1,0.14432139694690704
PELAYDUR,0.14418737590312958
PEEMAIL,0.142379492521286
PRFAMNUM,0.1422768235206604
PEDWLKO,0.14226563274860382
PTERNH1O,0.14220835268497467
PUSLFPRX,0.14208517968654633
PEVIDEO,0.14110572636127472
PEJHWANT,0.1406184583902359
PXNLFACT,0.14049206674098969
PEDISEYE,0.13930156826972961
PXRET1,0.13894079625606537
HXMEDDOC,0.13881933689117432
PEJOBSCH,0.13856343924999237
PTERNWA,0.13830222189426422
PEIO1COW,0.13778969645500183
PEDWWNTO,0.13745203614234924
PEPAR2TYP,0.1374022364616394
PRPTREA,0.1373542696237564
PUIODP3,0.13694068789482117
PXCERT1,0.1368994116783142
PELAYLK,0.13663320243358612
PRDTIND1,0.1358414739370346
PRFAMREL,0.13553917407989502
PXCONFER,0.13466835021972656
PXAFNOW,0.134214386343956
PXPUBLISH,0.134131520986557
PXABSPDO,0.13395634293556213
PXHRFTPT,0.13372604548931122
PXHRACTT,0.13289594650268555
HENOHM2,0.1320686936378479
PECERT1,0.13113541901111603
PRFTLF,0.1305745542049408
PXERNCOV,0.130102276802063
PECERT3,0.13008055090904236
HXHNETST,0.129949688911438
PESOCIAL,0.12990376353263855
PESCHENR,0.1297391802072525
PEPDEMP1,0.12967641651630402
PULAYCK1,0.1296357363462448
PUIO2MFG,0.12961193919181824
PRDTCOW1,0.12921921908855438
HENOTV9,0.1291062980890274
PUNLFCK1,0.12852910161018372
PETEXTIM,0.12823054194450378
PEINHOME,0.12810231745243073
PEEDUCA,0.12806372344493866
PEPAR2,0.12769919633865356
HUBUSL3,0.12755556404590607
PEHRRSN1,0.12749066948890686
PENLFRET,0.12734515964984894
PEDWAVL,0.1270509511232376
PEMARITL,0.12687033414840698
PUABSOT,0.12685297429561615
PWPRMWGT,0.1258864402770996
PRDISC,0.1251894235610962
PRNAGPWS,0.12499219924211502
PXSEX,0.12461058050394058
PULKDK1,0.1245308443903923
PEJHWKO,0.12268396466970444
PEDISPHY,0.12171761691570282
PEDWRSN,0.12095454335212708
PEEGOVTS,0.12058180570602417
PULAY,0.11801231652498245
PUBUSCK3,0.11790363490581512
PXERNHRO,0.1176961362361908
PXAFWHN1,0.11581651121377945
PEERNHRO,0.1147204041481018
PXHRACT1,0.11370006948709488
PULKM4,0.11345044523477554
PEERNLAB,0.11304109543561935
PXEGOODS,0.11218216270208359
PUDIS,0.1119747906923294
PTERNHLY,0.11033857613801956
PEJHRSN,0.1102297455072403
PELKFTO,0.11002833396196365
PWSSWGT,0.10903563350439072
PXDWRSN,0.10828198492527008
PXJHRSN,0.10709609091281891
PXCERT3,0.10614562779664993
PWCMPWGT,0.10551454871892929
PEIO2ICD,0.10529351979494095
PEABSPDO,0.10462139546871185
PXJHWANT,0.10442952066659927
PEUSESVC,0.10374706983566284
PXVOICEA,0.1035476103425026
MARRIED,0.10211827605962753
PEESRVCS,0.10187978297472
PUJHCK2,0.10119234770536423
PEINWORK,0.10109599679708481
PULKPS1,0.10098186135292053
PXSCHENR,0.10084745287895203
PELAYAVL,0.09745782613754272
PELAYFTO,0.09727443009614944
PETELEWK,0.09720947593450546
PRCITSHP,0.0955410972237587
PRNAGWS,0.09415964782238007
PEPAR1,0.09227407723665237
PEECOMME,0.09223373234272003
PULKPS2,0.09033531695604324
PESPOUSE,0.08948706090450287
PERRP,0.08885344117879868
