,score
HENOHM8,3.1829028129577637
PUBUSCK2,1.9357860088348389
PULAYCK1,1.8340388536453247
PEDWLKO,1.569211483001709
HEPSCYBA,1.5182924270629883
PEPDEMP2,1.140579104423523
HUBUSL3,1.0440394878387451
HEEVRHOM,0.9525471925735474
HEHOMTE3,0.9392713904380798
PELAYDUR,0.8902004361152649
HENOTV3,0.8370603919029236
HEHNETST,0.8002554178237915
HETRADTV,0.7958211302757263
HXTVBOX,0.7617283463478088
PXMPHONE,0.7563621401786804
PXMLR,0.7480188608169556
HEDEVSTA,0.7462800145149231
PXNETCK2,0.7444906830787659
HENOTV10,0.7363997101783752
PXWEARAB,0.7360275387763977
HXHNETST,0.7327391505241394
HXINOTHR,0.727970540523529
PEFINANC,0.7263886332511902
PXERNPER,0.7125177383422852
PXINCAFE,0.6889899969100952
PRDTCOW2,0.6722649931907654
PXHSPNON,0.6714522838592529
PXDISEAR,0.6675592660903931
PRFTLF,0.6599774360656738
PXERNHRY,0.6592050194740295
HETVBOX,0.6584621667861938
HXTABLET,0.6492170691490173
HEINTRAV,0.6368532776832581
PXDESKTP,0.6311190128326416
HEMEDMON,0.626771867275238
HEHMINT2,0.620357871055603
HXINWORK,0.6102022528648376
PELAYFTO,0.6066568493843079
STATE,0.6041268110275269
HEDEVQUA,0.6000689268112183
HXLOPRCE,0.5979578495025635
HEPRINOH,0.5955997705459595
HELOPRCE,0.5932263731956482
PXHRUSL1,0.5910313129425049
HEWEARAB,0.5850861668586731
PULAYDT,0.5648794174194336
PXRACE1,0.5644302368164062
PEINOTHR,0.5615476965904236
HEINELHO,0.5615353584289551
HEHNETQL,0.5585656762123108
PXERNHRO,0.5538488626480103
PRWNTJOB,0.5501574873924255
HEINOTHR,0.5478827953338623
PXMNTVTY,0.5367752313613892
PRDASIAN,0.5320974588394165
HENOTV6,0.5217370986938477
HXWEARAB,0.5189083814620972
HENOTV7,0.5165660977363586
HEHOMTE4,0.5157911777496338
PXJHWANT,0.512851893901825
HETELHHD,0.5115232467651367
PXTVBOX,0.5091248750686646
HRNUMHOU,0.5042811632156372
HXPREVTV,0.5004161596298218
HENETCHK,0.49431759119033813
PUCHINHH,0.4937590956687927
PXTABLET,0.4933350682258606
PXFNTVTY,0.49280720949172974
HEMEDINF,0.4885711073875427
PXNLFRET,0.486883282661438
HETABLET,0.48178860545158386
HENOHM3,0.4726575016975403
QSTNUM,0.46980372071266174
HEINWORK,0.46935462951660156
PRCITFLG,0.4654156267642975
HEHOMTE1,0.4647930860519409
PXNATVTY,0.4635164141654968
HEHOMTE2,0.46299898624420166
HEHMINT1,0.46083495020866394
PXDISDRS,0.4591100513935089
HENOTV4,0.4570907652378082
HENOTV1,0.4567627012729645
PRDTHSP,0.4534081518650055
HENOTV12,0.4511552155017853
PXINELHO,0.4497605264186859
PEERNCOV,0.4490067958831787
HXTELAVL,0.4470182955265045
PXINOTHR,0.44123443961143494
HXMOBDAT,0.4411684274673462
HUBUSL2,0.44034409523010254
GTCO,0.4391495883464813
GTCSA,0.43414944410324097
HEMEDREC,0.4339914619922638
PXLAPTOP,0.42959973216056824
HUBUSL1,0.42662951350212097
PXGAMING,0.4254513382911682
HEMEDDOC,0.4229920506477356
PREMPHRS,0.41923603415489197
PEABSPDO,0.41849154233932495
PXDISREM,0.4171411395072937
HXHOMTE1,0.41294604539871216
HXDESKTP,0.41134145855903625
HWHHWTLN,0.4106181263923645
HEINLICO,0.4092593491077423
HETELAVL,0.4090390205383301
PXCERT1,0.4051942825317383
PXINLICO,0.4031282663345337
