,score
HUBUSL4,2.6141719818115234
HENOOU9,1.1164908409118652
HEPSCYBA,1.0842660665512085
HECBULLY,0.8989623785018921
HENOOU5,0.8844015002250671
HENOTV5,0.8282788395881653
HEMEDINF,0.7999306321144104
HEINOTHR,0.7580522298812866
HENOHM7,0.7485474944114685
HEHOMTE4,0.7346795201301575
HENOTV10,0.7028760313987732
HENOTV3,0.6578318476676941
HEINLICO,0.6486257314682007
HENOTV12,0.6422914862632751
HUBUSL1,0.6176173090934753
HENOTV6,0.5832020044326782
HENOHM1,0.5807093977928162
HENOHM10,0.5775944590568542
PXLNMOM,0.5742836594581604
HEPECOMP,0.5739699006080627
HXTELAVL,0.5687099099159241
PEHRFTPT,0.5581203699111938
PXDISREM,0.5580155253410339
HEINELHO,0.5473933815956116
PELKLL1O,0.5415393114089966
PXIO2ICD,0.540106475353241
HEPREVTV,0.5377849340438843
HEINSCHL,0.5360336303710938
PXERNWKP,0.5301238894462585
HEDESKTP,0.5288257598876953
HENOOU8,0.5285232663154602
PXSPOUSE,0.5166352987289429
HENOTV8,0.507972776889801
HEMEDREC,0.4880162477493286
HEHOMSU,0.4870339035987854
HEPRINOH,0.4852462410926819
HRNUMHOU,0.4824272394180298
HETVBOX,0.47724980115890503
GTINDVPC,0.4758562445640564
PRDASIAN,0.4731920063495636
QSTNUM,0.47299256920814514
PEMOMTYP,0.4696952700614929
HUBUSL2,0.46883511543273926
HEPRINOO,0.4667530953884125
GCTCS,0.46595486998558044
HEINCAFE,0.4652763605117798
HENOTV9,0.46224430203437805
PXHRUSL2,0.45907214283943176
HENOTV4,0.45711174607276917
HEMEDDOC,0.4570010304450989
PXDISOUT,0.4561181664466858
PXRACE1,0.45606979727745056
HRLONGLK,0.4545017182826996
GEDIV,0.4539070725440979
HETABLET,0.4531479775905609
HENOTV11,0.45139724016189575
PRDISC,0.45070406794548035
HENOOU7,0.44648149609565735
PEINELHO,0.4456985890865326
HEMEDMON,0.44154173135757446
HENOHM3,0.4380771815776825
HWHHWTLN,0.4367111921310425
HEINWORK,0.43233826756477356
PXSCHLVL,0.4312661588191986
GCTCO,0.427742063999176
PXDISPHY,0.4254048466682434
PXABSPDO,0.4212753176689148
HENOTV2,0.4210227131843567
HEHOMTE1,0.4195539951324463
HWHHWGT,0.4188804030418396
GTCBSASZ,0.41629400849342346
HENOOU3,0.4159567654132843
HUPRSCNT,0.41242340207099915
HEMPHONE,0.41150814294815063
HRHHID2,0.40854737162590027
PXPDEMP2,0.4084884226322174
HULANGCODE,0.4083314538002014
HENOOU10,0.406549334526062
GCFIP,0.4061841070652008
PEERNUOT,0.40557241439819336
HEINTRAV,0.4053424000740051
HEWEARAB,0.39930540323257446
HETRADTV,0.3988037109375
PRDTHSP,0.3976464569568634
HXTELHHD,0.3956446647644043
GCTCB,0.39517849683761597
PUJHCK3,0.3925457298755646
PXERNUOT,0.3904198706150055
PEINOTHR,0.38845300674438477
PXINUSYR,0.3881853520870209
PRJOBSEA,0.38749581575393677
HELAPTOP,0.3873463273048401
HENETCHK,0.3851105570793152
HEHMINT2,0.384673535823822
HRMIS,0.38433539867401123
PUHROT1,0.3823125958442688
HENOOU1,0.38160693645477295
HXFAMINC,0.3763158619403839
PXCOHAB,0.375179260969162
GTCBSAST,0.3746738135814667
HURESPLI,0.37349602580070496
GEREG,0.37123608589172363
PESCHLVL,0.37117835879325867
PEINSCHL,0.37074434757232666
GTMETSTA,0.3696792721748352
PRERELG,0.36755770444869995
PUBUSCK3,0.3673768937587738
HETELAVL,0.36447107791900635
PTDTRACE,0.36289775371551514
PXERNPER,0.36250802874565125
HEFAMINC,0.36153465509414673
HUBUS,0.36095017194747925
PELKAVL,0.3573307693004608
HENOTV1,0.3517867624759674
PXERNH2,0.3510972857475281
PXAGE,0.3509235084056854
PUHRCK1,0.34947171807289124
PXFNTVTY,0.3489236831665039
HENOHM4,0.3450121283531189
HEHOUSUT,0.34270161390304565
PEAFWHN4,0.3417213559150696
PRFAMTYP,0.34020450711250305
PTHR,0.33980751037597656
HEEVRHOM,0.33979612588882446
HEHOMTE2,0.3374422490596771
PRFAMNUM,0.334114670753479
HUFINAL,0.33311155438423157
PRCITSHP,0.33282843232154846
HUINTTYP,0.33085566759109497
HUBUSL3,0.3282081186771393
PXRRP,0.32440435886383057
PEDWLKWK,0.32232341170310974
PULKDK2,0.3209255039691925
PEFNTVTY,0.32088178396224976
HENOHM8,0.31823694705963135
PEINCAFE,0.31411221623420715
PUNLFCK2,0.31310397386550903
PXMNTVTY,0.3114425837993622
HRHTYPE,0.31133678555488586
PRNAGPWS,0.31125932931900024
PEDESKTP,0.3093242049217224
PEERN,0.3064161241054535
PXLKAVL,0.30441591143608093
HENOHM2,0.3029194176197052
PULAYCK3,0.3027156591415405
PXJHWKO,0.3011524975299835
PUJHCK4,0.3004443049430847
PEERNRT,0.30012086033821106
PEFINANC,0.29995158314704895
HEHMINT1,0.2998323142528534
PELNDAD,0.2992132902145386
HEEVROUT,0.29745882749557495
PEHRRSN2,0.29623356461524963
PWORWGT,0.29614606499671936
PUHRCK4,0.2959249019622803
PEMNTVTY,0.29586225748062134
PXERNRT,0.29515478014945984
HEPHONEO,0.2946773171424866
PUNLFCK1,0.29352477192878723
PENLFJH,0.29346349835395813
PUDWCK2,0.2927342653274536
PECERT3,0.2926996052265167
PUBUS1,0.29191920161247253
PEDADTYP,0.2914910912513733
PUDWCK5,0.291420578956604
PELNMOM,0.29069823026657104
PXCERT3,0.2901017963886261
PRWERNAL,0.2899700403213501
HETENURE,0.2888902723789215
PUJHCK1,0.28667232394218445
HETELHHD,0.28563031554222107
PURETOT,0.28506147861480713
PWFMWGT,0.28493502736091614
PEERNWKP,0.2846222221851349
PXERNLAB,0.2846192717552185
PEECOMME,0.28422024846076965
HEHOMTE3,0.28407156467437744
PEERNPER,0.28395771980285645
HEMOBDAT,0.2830606698989868
PEINLICO,0.2822643220424652
PELKFTO,0.2798965573310852
PRNMCHLD,0.27913421392440796
PXHSPNON,0.27871939539909363
PESCHENR,0.2775242328643799
PULKPS1,0.27629169821739197
PEAFWHN3,0.27623268961906433
PWLGWGT,0.27618709206581116
PXCERT1,0.27479520440101624
PEJOBSCH,0.27386003732681274
HENOOU6,0.2737571597099304
PEEDUCA,0.27305853366851807
PRHRUSL,0.2722811996936798
PUCHINHH,0.27224764227867126
PXAFNOW,0.2711733877658844
PETVBOX,0.27090927958488464
PEPDEMP1,0.27078667283058167
PWCMPWGT,0.2691026031970978
PUHRCK2,0.2690517008304596
PUIO2MFG,0.26896920800209045
PXDW4WK,0.268084853887558
HENOOU2,0.2670101523399353
PRPTHRS,0.2669340968132019
PUJHCK5,0.2657918632030487
HENOHM6,0.2653161287307739
PUHROFF2,0.26527899503707886
PEMJNUM,0.2649925649166107
PUJHCK2,0.26461729407310486
PXNLFRET,0.26425275206565857
PXNLFJH,0.26318469643592834
PULKM3,0.2631416618824005
PEINWORK,0.26270052790641785
PXHRRSN2,0.261534184217453
PUIODP3,0.2610458731651306
PRINUYER,0.26100996136665344
PXCERT2,0.2604086399078369
HRHHID,0.26003992557525635
PXMJOT,0.25850909948349
PEDIPGED,0.2581575810909271
PEABSPDO,0.2580285370349884
PEDISREM,0.2562081217765808
PECOHAB,0.25556811690330505
PEEDTRAI,0.25509586930274963
PXNATVTY,0.2548827826976776
PENLFRET,0.25478023290634155
PXHRACTT,0.2532745599746704
PEHRRSN1,0.25309881567955017
PENATVTY,0.25236305594444275
PXCYC,0.2519337832927704
PULAY,0.2513878643512726
PEEGOODS,0.2513867914676666
PETABLET,0.25110742449760437
PRPTREA,0.2498273253440857
PEHRUSLT,0.24850520491600037
PEHRUSL2,0.24733932316303253
PECERT2,0.2473219335079193
PRDISFLG,0.24719953536987305
PRCHLD,0.24679741263389587
PEINTRAV,0.24650028347969055
PUBUS2OT,0.24404194951057434
PECYC,0.2437773197889328
PELKLWO,0.2433658242225647
HEINHOME,0.24308402836322784
PEIO1COW,0.24292276799678802
PXSCHENR,0.2424038201570511
PUDIS,0.2419251799583435
PRDTIND2,0.24123114347457886
PXIO1COW,0.23960459232330322
PWVETWGT,0.2392822951078415
PXERNH1O,0.23893427848815918
PUDWCK4,0.2382427155971527
PEAUDIO,0.23793210089206696
PRTAGE,0.23783569037914276
PEIO1OCD,0.23615549504756927
PEERNH2,0.23580190539360046
PUWK,0.23537331819534302
PXDISEAR,0.23360081017017365
PEHRACT1,0.23141276836395264
PERET1,0.22999122738838196
PUIO1MFG,0.2294950932264328
PXIO1OCD,0.22908924520015717
PEDISPHY,0.2262774556875229
PULK,0.2261687070131302
PRWKSTAT,0.2260235995054245
PUBUSCK4,0.22580839693546295
PULKM4,0.22457270324230194
PRCOWPG,0.22361886501312256
PREMPHRS,0.22313766181468964
PEDISEYE,0.22215859591960907
PXNMEMP1,0.2217703014612198
PRERNWA,0.22044622898101807
PEWEARAB,0.2204151153564453
PESOCIAL,0.22032541036605835
PEIO1ICD,0.21917887032032013
PEHGCOMP,0.2191106379032135
PEESRVCS,0.2190997451543808
PXDIPGED,0.21763662993907928
PXERN,0.21573545038700104
PEJHRSN,0.21571777760982513
PEHRRSN3,0.21569661796092987
PWSSWGT,0.21536040306091309
PUIODP1,0.21443679928779602
PUHRCK5,0.21358387172222137
PEHRACTT,0.2134263515472412
PRDTCOW1,0.21297277510166168
PUHROT2,0.2125992476940155
PELAPTOP,0.2122679203748703
PEHOMIOT,0.2121553122997284
PXAFWHN1,0.2120126485824585
PEERNH1O,0.21161115169525146
PULKM2,0.21158814430236816
PEDISEAR,0.20982825756072998
PUIOCK2,0.2097131907939911
PULAY6M,0.20884907245635986
PEABSRSN,0.2079211324453354
PEMPHONE,0.20620544254779816
PEPDEMP2,0.2049761712551117
PWPRMWGT,0.2040327936410904
PEHRUSL1,0.20386475324630737
PXERNCOV,0.2037227898836136
PXEDUCA,0.20350295305252075
PRFTLF,0.20348431169986725
PECERT1,0.20336827635765076
PUIODP2,0.20304639637470245
PENETCK2,0.20221304893493652
PEHRWANT,0.20128661394119263
PRDTIND1,0.20087368786334991
PUHROFF1,0.200811505317688
PETEXTIM,0.1999768763780594
PEAFWHN2,0.19325320422649384
PELKM1,0.19304251670837402
PRFAMREL,0.19241516292095184
PETELEWK,0.19060620665550232
PRWNTJOB,0.19044339656829834
PEMARITL,0.19000758230686188
PXHRACT1,0.1897558867931366
PRIMIND1,0.1895296722650528
PXHRAVL,0.18908068537712097
PUABSOT,0.18814678490161896
PXRET1,0.1873302161693573
PEHRACT2,0.1869131326675415
PUIOCK1,0.1868894100189209
PENLFACT,0.18644195795059204
PEAFEVER,0.18587301671504974
PEAFWHN1,0.18561577796936035
PRABSREA,0.18417084217071533
PXPARENT,0.1838129162788391
PXHGCOMP,0.18214599788188934
PXIO1ICD,0.1819761097431183
PRCITFLG,0.1818004846572876
PULKDK1,0.18094035983085632
PEUSESVC,0.17940449714660645
PESEX,0.1793132871389389
PRDTOCC1,0.17913225293159485
PEEMAIL,0.1785232126712799
PEDISOUT,0.17814895510673523
PEINHOME,0.17814700305461884
PELKDUR,0.17792390286922455
PELKLL2O,0.17745546996593475
PEDWLKO,0.17721141874790192
PRNLFSCH,0.1765953153371811
PXABSRSN,0.17602980136871338
PXSEX,0.17542453110218048
PXAFEVER,0.17498651146888733
PXDISDRS,0.1741841435432434
PXERNHRY,0.17341768741607666
PEJHWKO,0.1724647432565689
PXHRFTPT,0.17058004438877106
PEPUBLISH,0.1701384335756302
PXDISEYE,0.16981714963912964
PUDWCK3,0.16910958290100098
HEPSENSI,0.16882488131523132
PRERNHLY,0.16795358061790466
PXMARITL,0.1676357388496399
PXMLR,0.16722843050956726
PXNLFACT,0.164778932929039
PRWKSCH,0.16423161327838898
PXDWWK,0.16377617418766022
HENOOU4,0.16234943270683289
PXLNDAD,0.16124343872070312
PUBUSCK1,0.1611504852771759
PEERNLAB,0.16055414080619812
PUDIS1,0.16024920344352722
PEERNCOV,0.15903401374816895
PEHRAVL,0.158648282289505
PEIO2OCD,0.1559154987335205
PEDISDRS,0.15412794053554535
PRMARSTA,0.15308396518230438
PEDWWK,0.15191881358623505
HENOTV7,0.15187981724739075
PXPDEMP1,0.14972004294395447
PEIO2COW,0.14921297132968903
PRDTCOW2,0.14819955825805664
PXHRWANT,0.14804095029830933
PEDW4WK,0.146495059132576
PXHRRSN3,0.146114319562912
PXLKDUR,0.14456041157245636
PECONFER,0.14436423778533936
PEPARENT,0.1420183777809143
PULKAVR,0.1398804485797882
PEERNHRO,0.13960197567939758
PUHRCK3,0.13929259777069092
PXERNHRO,0.13839471340179443
HENOHM9,0.1376308798789978
PESCHFT,0.13631072640419006
PRPERTYP,0.13619187474250793
PEVIDEO,0.136168971657753
PREMPNOT,0.1360905021429062
PEERNHRY,0.13505570590496063
PXDWWNTO,0.13450123369693756
PUHRCK7,0.13419607281684875
PXLKFTO,0.13238658010959625
PRUNTYPE,0.13188354671001434
PULAYCK2,0.1299118548631668
PESPOUSE,0.12938232719898224
PUSLFPRX,0.12794294953346252
PXHRACT2,0.1269773542881012
PTNMEMP1,0.12510992586612701
PEDWWNTO,0.12451887875795364
PXSCHFT,0.12201642990112305
PUDIS2,0.1212056502699852
PRUNEDUR,0.1209433302283287
HXTENURE,0.11861498653888702
PTWK,0.11756531149148941
PRSJMJ,0.11660005897283554
PXLKLL2O,0.11615780740976334
PREXPLF,0.1160539835691452
PUBUSCK2,0.11574755609035492
HENOHM5,0.11467189341783524
PELAYFTO,0.11411674320697784
PULINENO,0.11267831921577454
PELAYAVL,0.1119079440832138
PEDWRSN,0.11169902980327606
PEIO2ICD,0.10784057527780533
PULAYAVR,0.10714638233184814
PERRP,0.10675814002752304
PEDWAVR,0.1052786186337471
PEMLR,0.1032591462135315
PEJHWANT,0.10145416855812073
PXDADTYP,0.10061974823474884
PULAYDT,0.09965620934963226
PXHRUSLT,0.09840080142021179
PEDWAVL,0.09324906766414642
PXJHRSN,0.09068259596824646
PXHRRSN1,0.08859889954328537
PULKM5,0.08574698865413666
PRAGNA,0.08150266855955124
PXJHWANT,0.07992780208587646
PEMJOT,0.0733209028840065
PELAYDUR,0.07267002761363983
PRDTOCC2,0.07176818698644638
PUIOCK3,0.0654388964176178
PRHERNAL,0.0645102858543396
PUDWCK1,0.06418970972299576
PRNAGWS,0.06323926150798798
PXDWLKO,0.061791129410266876
PXMOMTYP,0.05059168115258217
PUERN2,0.046425510197877884
PXDWLKWK,0.044881440699100494
PXLKLWO,0.04409351572394371
PXIO2OCD,0.03484850749373436
PULAYCK1,0.02796362340450287
PXDWRSN,0.026333261281251907
PXHRUSL1,0.02142101339995861
PULKM6,0.018765732645988464
PXLAYDUR,0.01183953694999218
PXLAYLK,0.009180736728012562
PTNMEMP2,0.009068095125257969
PXMJNUM,0.008796246722340584
PULKPS2,0.008766457438468933
PREMP,0.006564714014530182
PXIO2COW,0.005759160965681076
