,score
HXTENURE,1.4303317070007324
HUBUSL4,1.3110564947128296
HXDEVSTA,1.2097991704940796
HEPSCYBA,1.1671197414398193
HUBUSL3,1.1617255210876465
PXINHOME,1.0384490489959717
PXINOTHR,1.0354231595993042
PXNETCK2,1.0340759754180908
HENOHM1,0.9852823615074158
HEMEDINF,0.9815962910652161
HXWEARAB,0.9555010795593262
PXHSPNON,0.9018785357475281
PUHRCK5,0.8740897178649902
HENOTV4,0.8711645007133484
PELKFTO,0.8510871529579163
PELKLL1O,0.7946060299873352
HENOTV11,0.7850974202156067
HXMPHONE,0.7791315913200378
HENOTV5,0.769310474395752
HENOTV10,0.7649620771408081
PXLAPTOP,0.7294056415557861
HENOTV12,0.7246811985969543
HENOHM5,0.7224043011665344
HEPREVTV,0.7137594819068909
HXTABLET,0.7133316993713379
PXDISPHY,0.6873202323913574
HENOHM3,0.6779637932777405
PXDISEYE,0.6725225448608398
HENOHM2,0.6706534624099731
PXINELHO,0.6545625925064087
HEMEDREC,0.6505196690559387
HENOTV2,0.6394250392913818
USLFT,0.6389828324317932
HEEVRHOM,0.6372184753417969
PXHRACTT,0.6354522109031677
HEINOTHR,0.6343172788619995
HXMOBDAT,0.631164014339447
HXLAPTOP,0.6273673176765442
PXHRACT2,0.6268506050109863
STATE,0.6267786026000977
HXTELAVL,0.6219284534454346
PRUNTYPE,0.6200944185256958
HELOPRCE,0.6139275431632996
HETELHHD,0.6129519939422607
HENOTV3,0.6053335666656494
HXPSCON1,0.6050050854682922
PXINLICO,0.6038407683372498
HELAPTOP,0.6025006771087646
HEINCAFE,0.5997193455696106
HXTELHHD,0.5951467752456665
PXWEARAB,0.5861737132072449
PXAGE,0.5850542187690735
HEHMINT1,0.5681098103523254
HEHMINT2,0.5620598196983337
PEABSRSN,0.560182511806488
PEIO2COW,0.5589808225631714
PXINCAFE,0.5564349889755249
HEHNETQL,0.5553830862045288
HXFAMINC,0.5428721904754639
HEDEVSTA,0.5380973219871521
HENOTV8,0.5347644090652466
PTWK,0.534286618232727
GTCBSAST,0.5323455333709717
HEDEVQUA,0.5313044190406799
HWHHWTLN,0.5284999012947083
PUBUSCK2,0.5262649059295654
HEINELHO,0.5248227119445801
HEINSCHL,0.523074209690094
HXINHOME,0.5221841335296631
PXDESKTP,0.5208231806755066
HXINWORK,0.5187525749206543
HETVBOX,0.5156829357147217
HEINLICO,0.5140594244003296
HETABLET,0.5138314366340637
PEABSPDO,0.5094189047813416
GTMETSTA,0.5063528418540955
HEINTRAV,0.5013267993927002
PXMLR,0.4999431371688843
PXEDUCA,0.49944084882736206
QSTNUM,0.4977724254131317
