,score
PXMLR,5.259724140167236
HUBUSL3,2.40746808052063
PULAYCK3,2.3479771614074707
HENOHM3,2.298203229904175
HENOHM5,1.9932862520217896
HENOTV8,1.7532511949539185
HENOTV10,1.736344337463379
HEMEDINF,1.6060539484024048
HEPSCYBA,1.5905654430389404
HXMEDINF,1.4573324918746948
PXDISREM,1.394017219543457
PUJHCK2,1.3355188369750977
HEMEDREC,1.300719976425171
PEPDEMP2,1.2612497806549072
PRDTIND2,1.1584173440933228
PRUNEDUR,1.1360132694244385
HEINOTHR,1.1164175271987915
PXINLICO,1.1094269752502441
HENOTV4,1.0739727020263672
HXINTRAV,1.0579841136932373
PRWKSCH,1.0512595176696777
HENOTV11,1.0021827220916748
PXNATVTY,0.9941740036010742
HELOPRCE,0.9697932600975037
PXTVBOX,0.95158851146698
HEINTRAV,0.9385226964950562
HXHOMTE1,0.9208019971847534
HXINSCHL,0.9203965067863464
PXDISEYE,0.9152713418006897
HXMOBDAT,0.9036088585853577
PXMPHONE,0.897961437702179
HXTELAVL,0.8866801261901855
PXDESKTP,0.8765279054641724
HXINCAFE,0.851508378982544
PUHRCK1,0.8049204349517822
PXINCAFE,0.8003303408622742
HXDEVQUA,0.7982467412948608
PXINSCHL,0.7945113182067871
PXSCHFT,0.7940306663513184
PXTABLET,0.7849050164222717
HENOHM10,0.7828958034515381
STATE,0.7764589190483093
PXINTRAV,0.7660908102989197
HEPREVTV,0.7565922141075134
HENOTV9,0.7550390362739563
HXTENURE,0.7543707489967346
PXINELHO,0.7368400692939758
HENOTV12,0.7362909913063049
HEEVRHOM,0.7353523373603821
HEHNETQL,0.7324616312980652
PXHSPNON,0.7235625982284546
PXDISEAR,0.716399610042572
HEMEDDOC,0.7141568660736084
PUBUSCK1,0.7082940936088562
PXJOBSCH,0.7063204646110535
HUBUSL2,0.7042693495750427
HENOHM1,0.6955650448799133
HENOTV5,0.6953017711639404
PXRACE1,0.6846675276756287
HEDEVSTA,0.6820331811904907
HEHMINT2,0.6747096180915833
HEHMINT1,0.6700101494789124
HETELHHD,0.6693926453590393
PXPAR2,0.6637596487998962
HEINLICO,0.6629101634025574
HUFINAL,0.661447286605835
HXINLICO,0.6612190008163452
HELAPTOP,0.6474366784095764
HETABLET,0.6425977945327759
HENOTV6,0.6419369578361511
HEDEVQUA,0.6367652416229248
PUJHCK5,0.6323524713516235
HXPREVTV,0.6307209134101868
HEINSCHL,0.6252658367156982
PXINHOME,0.6245995759963989
PXCERT1,0.6208055019378662
PXLAPTOP,0.6203390955924988
HEWEARAB,0.6142017245292664
HENOTV7,0.6128606200218201
HRLONGLK,0.6105087995529175
HEMEDMON,0.5967101454734802
HRNUMHOU,0.5964363813400269
PXINOTHR,0.5953654050827026
HRHHID2,0.5936455726623535
QSTNUM,0.593104362487793
HXINWORK,0.5927449464797974
PUJHCK4,0.5907759666442871
HUBUSL1,0.5904339551925659
HEPRINOH,0.5866844654083252
HEHOMTE3,0.5841105580329895
HXDEVSTA,0.5800745487213135
HENOTV2,0.5786580443382263
PXHRUSL1,0.5756996870040894
PRDASIAN,0.5716507434844971
HEINCAFE,0.5700643062591553
PXDISOUT,0.5645930767059326
HEHOMTE1,0.5607442259788513
HXPSCON1,0.5602599382400513
GTCO,0.559909462928772
HXINELHO,0.5572906732559204
HEHOMTE2,0.5538344979286194
HXINOTHR,0.5533450841903687
PXHRFTPT,0.5508430600166321
HETVBOX,0.5507580637931824
GTCBSAST,0.548505425453186
HEINWORK,0.5479823350906372
GTCBSASZ,0.5475307106971741
HUPRSCNT,0.5466591119766235
HUBUS,0.5441343188285828
HXMPHONE,0.5403486490249634
PUDWCK3,0.5393639206886292
PRCITFLG,0.5348877310752869
HXPSPRE1,0.534870982170105
HENETCHK,0.5315645337104797
PXDISDRS,0.5297483801841736
HXHNETST,0.5279876589775085
PRWERNAL,0.526824951171875
PRDTHSP,0.5249888896942139
HEDESKTP,0.5232298374176025
HENOTV1,0.5191654562950134
PTDTRACE,0.5184096693992615
PXSEX,0.5123380422592163
PXDISPHY,0.5109819769859314
HWHHWTLN,0.4992069602012634
HETELAVL,0.4955228567123413
HEHOMTE4,0.4930008053779602
HXDESKTP,0.49226441979408264
HEHOUSUT,0.4906497597694397
GTCBSA,0.488370805978775
PXEDUCA,0.4874100983142853
PXMNTVTY,0.48112985491752625
HEMOBDAT,0.4768931269645691
PXERNHRY,0.47592830657958984
HXTELHHD,0.47553780674934387
PXWEARAB,0.4713350236415863
PEINELHO,0.46989503502845764
PULKM4,0.46954190731048584
HXTABLET,0.4681842029094696
HXMEDDOC,0.46775805950164795
PEMNTVTY,0.46447843313217163
HUINTTYP,0.4630449712276459
HENOHM4,0.4627285897731781
HXWEARAB,0.4605609178543091
PEPDEMP1,0.4594559371471405
PUBUSCK2,0.4580710232257843
GTMETSTA,0.45741525292396545
PXHRAVL,0.4570198953151703
HXPSCYBA,0.45666518807411194
PXPAR2TYP,0.456625759601593
PWORWGT,0.45566102862358093
PUDWCK2,0.45523586869239807
PULKPS2,0.45512625575065613
HEINELHO,0.4550819396972656
HXHNETQL,0.4520598351955414
PXERNWKP,0.4478202760219574
PENETCK2,0.44701898097991943
HXNOTV1,0.4419742822647095
PRNLFSCH,0.437134325504303
PXHRACT1,0.4360150396823883
HXFAMINC,0.4356105327606201
HEMPHONE,0.43419110774993896
PEERNWKP,0.4340752959251404
GTINDVPC,0.43400660157203674
HEPHONEO,0.43385520577430725
PEEDUCA,0.4325702488422394
PXINUSYR,0.432405024766922
PXAGE,0.4274231493473053
PXERNHRO,0.42656409740448
HEFAMINC,0.4236205816268921
HWHHWGT,0.42174386978149414
HXMEDMON,0.42155787348747253
PEINCAFE,0.4200378358364105
PUIODP2,0.419768363237381
PEERNPER,0.4179804027080536
PUHRCK3,0.4175364673137665
PXHGCOMP,0.4167681634426117
PUHRCK4,0.4153241217136383
GTCSA,0.4140004813671112
HRHTYPE,0.4125446081161499
PENLFJH,0.40619492530822754
HENOTV3,0.40347710251808167
PEIO2COW,0.4011886417865753
PXCOHAB,0.39901113510131836
PECOHAB,0.39731693267822266
PXNETCK2,0.39621374011039734
PXERNH1O,0.39513081312179565
PULKM5,0.3945326507091522
HXMEDREC,0.39079198241233826
PUDWCK5,0.389882892370224
PEIO2ICD,0.388913631439209
HURESPLI,0.3849389851093292
HEHNETST,0.38439199328422546
PRDTCOW1,0.383735716342926
PXIO1OCD,0.38291406631469727
HRMIS,0.3819008767604828
PEFNTVTY,0.3780534565448761
PELAPTOP,0.37618371844291687
PXPDEMP1,0.37380072474479675
HXTVBOX,0.37262657284736633
PXAFWHN1,0.3700349032878876
PECERT3,0.36818212270736694
EDUCDT,0.36620187759399414
PESCHENR,0.3642372488975525
HXINHOME,0.36378899216651917
PXERN,0.36033743619918823
PEINLICO,0.3603051006793976
HETRADTV,0.35984012484550476
PRINUYER,0.35971370339393616
PEMJNUM,0.3581547141075134
PRDTOCC2,0.3549503982067108
PEHRRSN1,0.3544999063014984
PEDISEAR,0.34778887033462524
HETENURE,0.3441932797431946
HRHHID,0.34269556403160095
HXNOHM1,0.34236088395118713
PULAY,0.3416690528392792
PEVIDEO,0.3400968015193939
PRWKSTAT,0.3394879698753357
PEPAR2TYP,0.3389195501804352
PEHGCOMP,0.33847683668136597
PEDESKTP,0.33678138256073
PRHRUSL,0.3365025222301483
PXHRACTT,0.3363575339317322
PUIODP3,0.33584755659103394
PENATVTY,0.3354262709617615
PEDWLKO,0.33534863591194153
PESOCIAL,0.3350716829299927
PEHRUSLT,0.3347914218902588
PETEXTIM,0.3338204324245453
PEINOTHR,0.3307558596134186
PEHRACTT,0.3295973837375641
PEEDTRAI,0.3276141583919525
PUBUS1,0.3242162764072418
PUIOCK2,0.3222280442714691
PXCYC,0.32132628560066223
PETABLET,0.32123619318008423
PELKLWO,0.32093438506126404
PULAYAVR,0.3204743564128876
PXNMEMP1,0.31988438963890076
PEHRAVL,0.31696417927742004
MARRIED,0.3164913058280945
PXJHRSN,0.3150189220905304
PERET1,0.31435877084732056
PUWK,0.3131096363067627
PETVBOX,0.3127669095993042
PWLGWGT,0.3118554651737213
PEERNHRO,0.3110409080982208
PURETOT,0.3105069696903229
PUHROFF2,0.30946239829063416
PXINWORK,0.30937883257865906
PWFMWGT,0.30888205766677856
PXIO1ICD,0.30867326259613037
PULKDK1,0.3076062500476837
PEFINANC,0.30658453702926636
PRPERTYP,0.30649787187576294
PUCHINHH,0.3058750629425049
PEPUBLISH,0.30477815866470337
PEDWAVL,0.3041602075099945
PEDISDRS,0.2991628348827362
PRDISC,0.29741811752319336
PXABSPDO,0.2973230481147766
PECERT1,0.2951754927635193
PRTAGE,0.2936597466468811
PXAUDIO,0.29195404052734375
PRDISFLG,0.29110071063041687
PXERNPER,0.2907284200191498
PUIO1MFG,0.288622111082077
PEHRRSN3,0.28710469603538513
HXLAPTOP,0.2867693305015564
PXNLFRET,0.2864352762699127
PENLFACT,0.28529301285743713
PRCHLD,0.2839233875274658
PULK,0.2832399606704712
PEABSRSN,0.2830824851989746
PUHROT2,0.28135427832603455
PEVOICEA,0.28130435943603516
PRPTREA,0.27923783659935
PTIO1OCD,0.2782728672027588
PEHRUSL2,0.2774322032928467
PEDWWK,0.27646416425704956
PEINWORK,0.27415430545806885
PXERNUOT,0.272499144077301
PXERNLAB,0.2718065083026886
PXNLFACT,0.2705296576023102
PXERNH2,0.270345002412796
PXHRRSN1,0.2701210081577301
PXFNTVTY,0.2688049077987671
PTERNH1O,0.2687573730945587
PRMARSTA,0.2684396803379059
UNEMPTYPE,0.26680776476860046
PXCERT3,0.26649537682533264
PRNMCHLD,0.2664526402950287
PXHRACT2,0.26535189151763916
PXMARITL,0.2652471661567688
PRPTHRS,0.26421302556991577
PXSCHENR,0.263721227645874
PXPAR1TYP,0.2634104788303375
PEAFWHN1,0.26209065318107605
PUNLFCK2,0.26010310649871826
PTERNWA,0.25880953669548035
PTERNHLY,0.25873908400535583
PRFAMTYP,0.25825783610343933
PUIOCK1,0.25771090388298035
PUBUSCK4,0.25657039880752563
PEDW4WK,0.2565247714519501
PEESRVCS,0.25620052218437195
PEPAR1,0.2539580464363098
PEIO1COW,0.2535526156425476
PEHRRSN2,0.25249674916267395
PECERT2,0.25183364748954773
PECYC,0.2513066530227661
PEDISOUT,0.25106745958328247
PECONFER,0.24984335899353027
PEHRFTPT,0.2488541603088379
PEJHWKO,0.24856898188591003
PRDTIND1,0.2478063702583313
PUDIS,0.24710988998413086
PEAFWHN2,0.2466076761484146
PEHRACT1,0.24503472447395325
PEAUDIO,0.24277637898921967
PEWEARAB,0.241159126162529
PELAYFTO,0.24081480503082275
PULKM2,0.23833847045898438
PXHRUSLT,0.23754607141017914
PXCERT2,0.2367490977048874
PRABSREA,0.23657624423503876
PEHRWANT,0.23589643836021423
PEDISEYE,0.23517853021621704
PEUSESVC,0.2351309061050415
PWVETWGT,0.23384225368499756
PENLFRET,0.2331785410642624
PUABSOT,0.23136399686336517
PEINHOME,0.23129728436470032
PUDIS2,0.23120957612991333
PEMARITL,0.2310914546251297
PEDISREM,0.2293020337820053
PUJHCK1,0.2291046530008316
PXHRRSN3,0.22886481881141663
PUDIS1,0.22700707614421844
PRNAGPWS,0.22666899859905243
PXRRP,0.22607021033763885
PEDISPHY,0.22449569404125214
PEMPHONE,0.2243814319372177
PXRET1,0.2238469123840332
PEHRUSL1,0.22197404503822327
PRERELG,0.22123098373413086
PEEGOVTS,0.22086867690086365
PEECOMME,0.22007909417152405
PEHRACT2,0.2196398675441742
PESPOUSE,0.21890504658222198
PEIO1ICD,0.21640649437904358
